Organization/Person Name,Description,Primary Job Title,Primary Organization,Investment Stage,Investor Type,Regions,Twitter,Website,Number of Investments,Number of Exits
Marina Hadjipateras,"Marina Hadjipateras is the Co-Founder and General Partner at Trail Mix Ventures, an early stage venture capital fund focussed on the future ...",Co-Founder and General Partner,Trail Mix Ventures,Seed,Individual/Angel,East Coast,,,1,
Lisa Gansky,"Lisa is the author of the bestseller, The Mesh. Why the Future of Business is Sharing. She is also the chief instigator of mesh labs. For mo...","CEO, Co-founder",Genome News Network,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/instigating,http://instigating.co,9,3
Jill Rowley,"Jill Rowley is the Founder and Chief Evangelist of Jill Rowley #SocialSelling. Her mission is to enable sales professionals on the Why, What...",,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/jill_rowley,,3,
Olivia Teich,Olivia Teich is the head of product at Blend. She is also a partner at Product Co-op.,Head of Product,Blend,"Early Stage Venture, Seed",Individual/Angel,"West Coast, Western US",https://twitter.com/oteich,,3,1
Elle Bruno,Elle Bruno,,,"Convertible Note, Early Stage Venture, Seed",Individual/Angel,"Greater Denver Area, Western US",,,3,
Allison Bhusri,"As the founder of Lemonade Capital, Allison Thoreson Bhusri invests primarily in technology companies and entrepreneurs with fresh, bold ide...",Founding Partner,Lemonade Capital,"Early Stage Venture, Seed, Venture",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/allisonbhusri,https://www.lemonadecapital.com/,3,
Julie Haddon,Julie Haddon - Senior Vice President of Marketing @ NFL,Senior Vice President of Marketing,NFL,Seed,Individual/Angel,"West Coast, Western US",http://twitter.com/julietweets,,1,
Alison Rosenthal,"Alison Rosenthal joined Greylock Partners in December, 2011 as an Executive in Residence.  She brings with her a wealth of experience in bus...",,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/alisonrosenthal,http://alisonrosenthal.me,5,3
Gigi Brisson,"Gigi Brisson co-founded Attractor Investment Management Inc., which manages a fund focused on long-term investments in private and public te...","Founder, Partner",Attractor Investment Management,Seed,Individual/Angel,"Greater Seattle Area, West Coast, Western US",https://twitter.com/gigib1,,2,1
Lorrie Norrington,"Lorrie Norrington has over 30 years of operating experience in technology, software, and internet businesses. Norrington currently serves as...",Operating Partner,Lead Edge Capital,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/LorrieNorring,,2,1
Jennifer Johnson,Founder/CEO of StockTouch and Visible Market.  StockTouch is an intuitive and powerful iOS and Mac app for dynamically visualizing the stock...,Founder and CEO,Visible Market Inc.,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/jennifernyc,,1,
Shripriya Mahesh,Shripriya is a partner at Spero Ventures where she invests in mission-driven founders building a future that belongs to everyone.  Prior to...,Partner,Spero Ventures,"Early Stage Venture, Seed","Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/Shripriya,,15,2
Kimberly Salzer,Chief Marketing Officer at Ozobot,,,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/kasalzer,,4,
Joanna Rees,"Joanna Rees is a Managing Partner at West and leads the firm's investments. She is based in San Francisco. In addition to her work at West,...",Managing Partner,West,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/joannarees?lang=en,http://joannarees.net,1,1
Sarah Fay,"Sarah Fay has served as a director of the Company since May 2012 and has over 20 years of experience in the media services industry, with a ...",Managing Director,Glasswing Ventures,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",http://twitter.com/sarahfayboston,,1,
Massy Mehdipour,"As founder and chief executive officer, Ms. Massy Mehdipour drives Skireâ€™s strategic direction and operations. Massy is an accomplished ex...","Founder, CEO & Primary Investor",Jotter Ventures,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Elaine Wherry,"Elaine Wherry co-founded. Elaine majored in Symbolic Systems at Stanford.  After Stanford, she worked at Synaptics as the Manager of U...",Co - Founder,Meebo,Seed,Individual/Angel,"West Coast, Western US",http://twitter.com/elainewherry,http://www.ewherry.com,2,2
Courtney Broadus,"Courtney is currently an angel investor, advisor, and consulting technology executive to startups and cloud computing companies. She is pass...",Investor,Broadway Angels,"Convertible Note, Debt, Early Stage Venture, Seed, Venture",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,15,6
Cipora Herman,"Cipora Herman is in her fourth season as the 49ers chief financial officer, after having become the first woman named to the position in tea...",Chief Financial Officer,San Francisco 49ers,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Monica Woo,"Monica Woo brings a successful track record in driving the profitable growth of e-commerce brands in U.S. and Latin America, as well as tran...",CEO & Founder,WooWorks,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,4,
Heather Parry,"More focused on productivity than gaining recognition, Heather Parry didn’t draw attention to herself when she took over as president of Liv...",Executive Producer,Live Nation Entertainment,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/heatherparry,http://www.heatherparry.com,1,
Sarah Fiszel,Sarah Fiszel's passion for real estate stems from her genuine interest in architecture and home decor and a love for Manhattan. She was rais...,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,2,1
Brandee Barker,Brandee Barker is Co-Founder and Partner at The Pramana Collective. She is an expert in communications and digital strategy for high-growth ...,Co-Founder & Partner,Pramana Collective Inc.,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/brandee,,1,
Fran Heller,"Founder and CEO of Good2Go, a mobile secure access company.",Board of Advisers - School of Science and Engineering,Tulane University,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Katherine Caldwell,Founder and Managing Partner Twenty Two Ventures,,,"Early Stage Venture, Seed",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,http://twentytwo.vc,2,
Maria Cirino,"Maria Cirino brings 22 years of entrepreneurial, operating and senior management sales and marketing experience in venture-backed technology...",Co-Founder and Managing Partner,.406 Ventures,Seed,"Investment Partner, Individual/Angel","Greater Boston Area, East Coast, New England",https://twitter.com/mariacirino,,1,
Caroline Winnett,"Caroline is Executive Director of Berkeley SkyDeck, UC Berkeley's flagship startup accelerator. At SkyDeck she leads a program that hosts ov...",Executive Director,Berkeley SkyDeck,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/carolinewinnett,http://skydeck.berkeley.edu/,2,1
Diane Hendricks,"Diane Hendricks is the owner and Chief Executive Officer of Hendricks Holding Company, a holding company that includes an extensive and dive...",Founder & CEO,Hendricks Investment Holdings,Seed,Individual/Angel,Southern US,,,1,
Elena Perepelychnaya,Creative clear vision of product design and integration into consumers real life exploring. With main focus resolving existing existing need...,,,"Crowdfunding, Early Stage Venture, Private Equity, Seed",Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/quantumelena,https://www.inserviss.com/,1,
Andrea Jung,"Jung, a graduate of Princeton University, joined Avon Products, Inc. in 1994 as president, product marketing for Avon U.S. She was elected p...",President and CEO,Grameen America,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Camille Samuels,Camille Samuels has served as a member of our Board since our inception in August 2005. Camille Samuels was previously a Managing Directo...,Partner,Venrock,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",http://www.twitter.com/camisamuelsvc,,1,
Lynda Weinman,"Lynda Weinman is cofounder and executive chair of lynda.com, one of the pioneering companies in online education. lynda.com teaches anyone s...",,,Seed,Individual/Angel,"West Coast, Western US",https://twitter.com/lyndaweinman,,3,1
Nanon de Gaspe Beaubien-Mattrick,"Nanon de Gaspé Beaubien-Mattrick is President and Founder of Beehive Holdings, an angel investment firm with a sweet spot for companies addr...",President & Founder,Beehive Holdings,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,2,
Jamie McCourt,"Jamie McCourt is the Founder of Jamie Enterprises as well as an entrepreneur, real estate developer, educator and philanthropist. She princi...",Founder,Jamie Enterprises,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/usambfrance?lang=en,https://fr.usembassy.gov/our-relationship/our-ambassado,5,1
Rachel Lam,Rachel Lam is Co-Founder and Managing Partner of Imagination Capital (www.imaginationvc.com).  She is also a member of the Board of Director...,Member of the Board of Directors,Telaria,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",,,1,
Shaula Alexander Yemini,"Dr. Shaula Alexander Yemini is a startup mentor, board member and advisor to several technology companies. She is also an angel investor. Un...",Principal,SAY Ventures,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,4,
Katrina Garnett,"Katrina is the Managing Director of Garnett Ventures which invests in enterprise, big data, cloud and mobile applications.  Her previous ear...",Managing Director,Garnett Ventures,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,3,2
Leonora Valvo,"Leonora Valvo is the co-founder and CEO of insightXM, a SaaS data analytics solution revealing the motivations of event attendees to event o...",Director & CoFounder,Swoogo,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/swoogo,https://www.swoogo.com,1,
Jocelyn Leavitt,"Jocelyn is a former teacher at Dalton. Since her undergraduate days at Dartmouth, she’s been excited about the power of project-based learni...",Co Founder & CEO,Hopscotch,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/JocelynLeavitt,http://jocelynleavitt.com,1,
Garima Kapoor,"Garima Kapoor - Co Founder, CFO @ MinIO","Co Founder, CFO",MinIO,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Julie Allegro,Julie is the founder of Allegro Venture Partners and has spent over 20 years in the venture business as investor and operator.  Julie has a ...,Founder & General Partner,Fyrfly Venture Partners,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/,http://www.allegrovc.com,1,
Ilana Golan,Entrepreneur. Transforming Companies. Breaking Barriers.  Selected as 40 top women to watch in 2016! F-16 Flight simulator instructor. Now C...,CEO,Golan Ventures,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/ilanagolan,http://www.ilanagolan.com/,2,
Elena Krasnoperova,"Elena is the Founder and CEO of SchoolCircle, an online service for busy parents to help manage school communication and logistics. Elena wa...",Founder and CEO,SimplyCircle,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/e_krasnoperova,,1,
Jenny Haeg,"In San Francisco, Jenny Haeg is known as the startup whisperer for commercial real estate. Whether you are a two person startup, or a multi-...",Founder,Custom Spaces,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/sftechbroker,http://customspacesre.com,3,
Rashmi Sinha,"Rashmi manages design and community for SlideShare. She has consulted on user experience projects for companies like eBay, iFilm, AAA and Bl...",,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/Rashmi,http://www.rashmisinha.com,1,
Fran Hauser,"Fran Hauser is an angel investor, digital media veteran and an advocate for women and kids. She is passionate about connecting people and in...",Advisor,Levo,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/fran_hauser,,3,
Asha Jadeja,Asha founded Dot Edu Ventures in March 2000 to fund innovative technologies emerging from top US universities. Among her many investments ar...,Entrepreneur,Various,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/ashajadeja325,,5,
Hilary Gosher,"Hilary Gosher is a Managing Director at Insight Venture Partners, a global growth investor in software companies with $16 billion AUM.  Hila...",Managing Director,Insight Partners,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",http://twitter.com/hilbil175,,1,
Tricia Black,Tricia Black,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,2,1
Elena Masolova,"Founder & CEO at Eduson. Investor at TokenStars, the first celebrity management platform on the blockchain.",Founder & CEO,Eduson,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/masolova,https://www.eduson.tv/,1,
Michele Burns,Michele Burns has been a member of the Board of Directors since November 2003. She has served as the Center Fellow and Strategic Advisor to ...,Member of the Board of Directors,Cisco,Seed,"Investment Partner, Individual/Angel","East Coast, Southern US",,,1,
Jen O'Neal,"Jen O'Neal is the Founder, President and Executive Chairman of Tripping.com. Jen launched Tripping.com from TechCrunch Disrupt in 2010. Sin...","Founder, President & Executive Chairman",Tripping.com,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/jenoneal,http://www.tripping.com,1,1
Margot Lebenberg Carter,"Margot Lebenberg Carter is Executive Vice President, Chief Legal Officer and Secretary for RealPage, Inc., and oversees all of the company’s...",President and Founder,Living Mountain Capital,Seed,Individual/Angel,"Dallas/Fort Worth Metroplex, Southern US",,,2,1
Bethany Mota,Bethany Mota is a video blogger.,,,Seed,Individual/Angel,"West Coast, Western US",https://twitter.com/bethanymota,,2,
Laura Towart Bandak,Laura Towart Bandak - Founder and Director @ Celmatix,Founder and Director,Celmatix,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Alexandra Latypova,"Alexandra Latypova, also known as Sasha, serves as Executive Vice President at iCardiac Technologies, Inc. Ms. Latypova served as Executive ...",Executive Vice President,iCardiac Technologies,Seed,Individual/Angel,"Great Lakes, East Coast, Northeastern US",,,2,
Valerie S. Gaydos,Valerie is an active angel investor and Founder of the Angel Venture Forum. She has been involved with many start-up companies in the areas ...,Founder,Angel Venture Forum,Seed,Individual/Angel,"Great Lakes, Northeastern US",http://twitter.com/angelventures,,1,
Kimberly Vogel,Kimberly Vogel - Co-Founder/CEO/Sr. Strategic Advisor/ @ Medina Medical,Co-Founder/CEO/Sr. Strategic Advisor/,Medina Medical,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Cheryl Rosner,"Cheryl Rosner was the CEO of BuyWithMe, (www.buywithme.com) the premier group buying website that connects shoppers with the best deals and ...",Entrepreneur in Residence,Lightspeed Venture Partners,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/cherylrosner,,1,
Jessica Peltz-Zatulove,"Jessica Peltz-Zatulove is a Partner at MDC Ventures, where she focuses on investments in early stage startups in digital media and marketing...",Partner,MDC Ventures,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",https://twitter.com/jessicapeltz,,2,1
Jennifer Gill Roberts,"Startup investor, entrepreneur and technologist with a passion for launching startups, both for-profit and non-profit in Silicon Valley.  C...",Founder,Grit Ventures (Formerly Grit Labs),"Early Stage Venture, Seed",Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast","http://@jgillrob,@gritlabs_hw",http://www.gritlabs.io,1,1
Christine Herron,"Christine Herron is an early-stage investor and diversity advocate, and co-leads the Intel Capital Diversity Fund while leading investments ...",Director,Intel Capital,"Early Stage Venture, Seed","Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/christine,,3,
Gigi Pritzker,"Jean ""Gigi"" Pritzker is an American billionaire, film producer, and philanthropist. She is a member of the Pritzker family, as the granddaug...",CEO and Cofounder,Madison Wells Media,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",,,2,
Whitney Bouck,"Whitney Bouck joined HelloSign as COO in 2016, where she is responsible for growing and scaling the company in partnership with the CEO, CTO...",COO,HelloSign,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/WhitneyBouck,,1,
Cristina Morgan,"Cristina Morgan - Vice Chairman, Investment Banking @ JP Morgan Chase","Vice Chairman, Investment Banking",JP Morgan Chase,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Sue Xu,"Dr. Sue Xu is a Managing Partner at Amino Capital, and her focus areas of investment include data-driven solutions and blockchain web3.0 pro...",Managing Partner,Amino Capital,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/suexuamino,,1,
Audrey Maclean,"Audrey MacLean has a unique track record for entrepreneurial success as a founder, CEO, seed investor, and board member. She has been on the...","Consulting Associate Professor, School of Eng.",Stanford University,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,6,4
Kristy Tillman,Kristy Tillman is the Head of Communication Design at Slack.,,,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",https://twitter.com/kristyt,,1,
Camilla Olson,"Initially, Camilla Olson was an electron microscopist and biomedical serial entrepreneur. She successfully founded, obtained funding, and at...","Founder, CEO",Savitude,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/camillaolson,http://www.camillaolson.com/,3,
Peggy Styer,Peggy Styer - Founding Partner @ Razor's Edge Ventures,Founding Partner,Razor's Edge Ventures,Seed,Individual/Angel,"Washington DC Metro Area, East Coast, Southern US",,,1,
Shereen Shermak,Shereen is a Boston-based angel investor and entrepreneur who works with Flybridge Capital Partners and its general partners as an advisor t...,Founder,Good Growth Capital,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",https://twitter.com/shrcubed,,4,1
Silvia Mah,Silvia is the CEO of Hera Labs.  With a Ph.D. in Biochemistry and her MBA from UCSD she helps accelerate university discoveries through the ...,CEO,Hera Hub,Seed,Individual/Angel,"Greater San Diego Area, West Coast, Western US",https://twitter.com/silviamah,,1,
Lisa Fetterman,"Lisa Fetterman is an inventor, CEO, wife and mom to son, Zechariah. With a background in fine dining service with stints at high-brow restau...",,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/LisaQFetterman,,1,
Cathie Black,"Cathie Black is a Member of the Board of Directors at PubMatic, Inc. since May 2014.  Previously, Cathie served as the Chairman of the Bo...",Member of the Board of Directors,PubMatic,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/cathiepblack,,2,
Michal Tsur,Michal is an experienced entrepreneur with many years of knowledge of technology startup work. Michal co-founded Cyota and was part of its m...,"Co-Founder, President & CMO",Kaltura,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/michts,,1,1
MaryAnne Gilmartin,"MaryAnne Gilmartin is President and Chief Executive Officer of Forest City Ratner Companies (FCRC), a New York-based real estate development...",Chairman & CEO,Forest City Enterprises,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,1
Yuliya Raquel,Yuliya Raquel is a celebrity designer and founder of fashion startups such as the COUTURME and Tailornova.,CEO,TAILORNOVA,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",,,1,
Helen Greiner,"Helen Greiner commands a presence in the field of robotics. Co-founding iRobot (NASDAQ:IRBT) in 1990, Helen Greiner served as president unti...",,,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",https://twitter.com/helengreiner,,1,
Geraldine Le Meur,"Based in San Francisco, Géraldine Le Meur, a French-American entrepreneur, investor, and mother of three boys, founded her first company at ...",Co-Founder & General Partner,The Refiners,"Early Stage Venture, Seed",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/geraldine,http://geraldinelemeur.com/,1,
Kim Polese,"Kim Polese is the Chairman of ClearStreet, a financial wellness company that helps people achieve longterm financial health. Ms. Polese has ...",Chairman,ClearStreet,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/kimpolese,,1,
Wendy Lea,"Wendy Lea is the Executive Chairman of Get Satisfaction. Wendy currently serves as an angel investor, strategic advisor and board member for...",CEO,Cintrifuse,Seed,Individual/Angel,"Great Lakes, Midwestern US",http://twitter.com/WendySLea,http://wendylea.com,2,
Anya Schiess,"Anya joined Thomas, McNerney & Partners in 2008 from Medtronic, Inc. where she held several sales and marketing leadership roles in the Unit...",Founder & General Partner,Healthy Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/anya,,1,1
Kelsey Morgan,"Kelsey is currently a Managing Director for NextGen Venture Partners, an early stage venture capital fund. NextGen has offices in NYC, DC, B...",Co-Founder and General Partner,Nex Cubed,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",https://twitter.com/KelseyJMorgan,,1,
Weili Dai,"Weili Dai is one of the most successful women entrepreneurs in the world today. Widely considered a technology visionary, she is the only wo...",Co-Founder & President,Marvell Technology,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",,,3,
Archie Gottesman,Archie Gottesman - Co-Founder @ STARCH Branding,Co-Founder,STARCH Branding,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Meagan Marks,"Meagan is a London-based product strategist, social technology expert, and angel investor who loves improving people's lives through technol...",,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/meaganmarks,,1,
Barbara Clarke,Barbara Clarke serves as an advisor at Traklight.,Founding Member,Astia Angels,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",https://twitter.com/beclarke,,1,
Morgan Beller,Morgan Beller - Corporate Development @ Facebook,Corporate Development,Facebook,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/@beller,,2,
Shernaz Daver,"Shernaz Daver is a leading marketing, business, and communications consultant. She has over 20 years of experience building brands and consu...",,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Dilek Dayinlarli,Dilek DAYINLARLI is founder and Managing Partner of ScaleX Ventures. ,Managing Partner,ScaleX Ventures,"Early Stage Venture, Seed",Individual/Angel,"West Coast, Western US",http://twitter.com/dilekdayinlarli,,2,1
Amy Chang,Amy Chang - CEO @ Delta Nutrassentials,CEO,Delta Nutrassentials,Seed,Individual/Angel,"Greater San Diego Area, West Coast, Western US",,,2,
Anna Barber,"Anna Barber is the Managing Director of Techstars LA, an accelerator program that is part of the global Techstars network supporting high gr...",Managing Director,Techstars,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/annawbarber,,1,
Robin Bechtel,Robin Sloan Bechtel is a Grammy-nominated new media executive best known for pioneering the Internet starting in the early '90's at the web'...,"Founder, CEO",Bechtel Ventures,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/robinbechtel,,1,
Jada Pinkett-Smith,"Jada Koren Pinkett–Smith is an American actress, dancer, singer-songwriter, and businesswoman. She began her career in 1990 when she made a ...",,,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/jadapsmith,,1,1
Gerri Elliott,Gerri Elliott has served as a member of our board of directors since August 2015. She currently serves on the boards of directors of lead...,Executive Vice President and Chief Sales and Marketing Officer,Cisco,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/gerri_elliott,,1,1
Melissa Reiff,"Melissa Reiff joined the Etsy board in April 2015. Melissa has been president of The Container Store Group since 2006, and chief operating o...",CEO,The Container Store,Seed,Individual/Angel,"Dallas/Fort Worth Metroplex, Southern US",,,1,
Dori Gilinski,Dori Gilinski,,,"Early Stage Venture, Seed",Individual/Angel,,,,1,
MJ Elmore,"Mary Jane Elmore, has been active in the software and information technology industries since the late 1970s. She joined the venture capital...",Investor,Broadway Angels,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/mjhelmore,,2,
"Jennifer ""Jenny"" Lawton",Jennifer Lawton was appointed chief executive officer of MakerBot in September 2014 after three years with the company as president and chie...,COO,Techstars,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/jennylawton,,1,
Diana Moldavsky,Diana Moldavsky,,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/dimoldavsky,,1,
Rachel Sheinbein,"Rachel Sheinbein is a Partner with the Energy and Materials team at CMEA Capital. In addition to Contour, she is a board member for Solaria,...",Venture Partner,Lemnos VC,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/RachelSheinbein,,1,1
Debbie Harmon,"Harmon is Co-Founder and Chief Executive Officer of Artemis Real Estate Partners, LLC, a real estate investment firm that manages approximat...",CEO,Artemis Real Estate Partners,Seed,Individual/Angel,"Washington DC Metro Area, Southern US",,,1,
Carol Sands,"Carol Sands is the Founder and the Managing Member of The Angels' Forum and The Halo Funds. She has 30 years of experience with investing, e...",Founder,The Halo Fund,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,1
Jessica Livingston,"Jessica Livingston is a founding partner at Y Combinator. She is also the organizer of Startup School, the big annual startup conference, an...",Co-Founder & Partner,Y Combinator,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/jesslivingston,http://foundersatwork.com/blog.html,10,2
J Whitney Stevens,"J. Whitney Stevens is the Chairperson of the New York Foundation for the Arts, as well as the Southampton Center Board Chair. She has been t...",Advisor,"brettapproved, Inc.",Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Sharon Vosmek,"Sharon Vosmek has transformed Astia during her tenure as CEO since 2007, having previously served as COO from 2004. Under Vosmek’s leadershi...",CEO,Astia,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/vosmek,http://astia.org/,1,
Susan Brazer,"Susan Brazer, Chief Executive Officer of LionShare Media, is a global mobile and digital media executive, who’s led the launch of many disru...",Chief Executive Officer and Founder,LionShare Media,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/sbrazer,https://lionsharemedia.com,1,
Marcia Radosevich,"Marcia Radosevich has professional experience in the healthcare information technology sector.  A businesswoman, Marcia founded several nota...",Board Member,Kit Check,Seed,Individual/Angel,"Greater Miami Area, East Coast, Southern US",https://twitter.com/MarciaRdosevch,http://marciaradosevich.net,1,1
Tammy H. Nam,Tammy H. Nam,,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Enmi Kendall,"Enmi has invested in early-mid stage ventures for over 15 years, first as part of venture firms IDG Ventures and Boston Millennia Partners. ...",Founder & General Partner,Healthy Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/eskimoto,,2,
Zita Cassizzi,Zita Cassizzi - Retail / Digital @ Apple,Retail / Digital,Apple,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",,,1,
Camilla Marcus Siegel,Camilla Marcus Siegel,,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Nancy Schoendorf,Nancy Schoendorf joined Mohr Davidow in 1993 she brought seventeen years of industry experience in a variety of engineering and executive po...,Managing Partner,Mohr Davidow Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",,,2,1
Brigette Lau,Brigette Lau is currently the Founder + Managing Partner of Hello Warrior Ventures and a Board Partner at The Social+Capital Partnership (“S...,Partner,Social Capital,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/blau00,,3,
Genevieve Thiers,Genevieve Thiers is the Founder of Sittercity.com . She also the Co - Founder of ContactKarma.com & OperaModa.com . She lives in Chica...,Founder,Sittercity,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",http://twitter.com/genevievethiers,,1,
Kristina Chang,"Kristina manages Westlake International Group's media, technology and consumer portfolio.  Kristina specializes in investing in early stage ...",President,Westlake International Group,Seed,Individual/Angel,"Greater San Diego Area, West Coast, Western US",,,1,
