Name,Website,Office/s,Stage/s,Portfolio,Market/s,Firm LinkedIn,Firm Twitter,Contact Downloads
Notation Capital,https://notation.vc,New York (United States),"Pre-Seed, Seed",https://notation.vc/companies/,"FinTech, Blockchain, EdTech, HealthTech/Digital Health, Infrastructure, SaaS/B2B Software, Developer Tools, Cyber Security, Logistics, Machine Learning, Climate Tech",https://www.linkedin.com/company/notation-capital/,https://twitter.com/NotationCapital,https://payhip.com/projectstartups
Octopus Ventures,https://octopusventures.com,"London (United Kingdom), New York (United States)","Pre-Seed, Seed, Series A, Series B",https://octopusventures.com/portfolio/,"Future of Health (Digital Health, Tackling Taboo Issues, Health Care Software), Future of Money (Exchange, Allocation), Deep Tech (Human-Computer Interface, Quantum Computing, Robotics, Synthetic Biology)",https://www.linkedin.com/company/octopus-ventures/,https://twitter.com/OctopusVentures,https://payhip.com/projectstartups
OneWay Ventures,https://onewayvc.com,Boston (United States),"Pre-Seed, Seed, Series A",https://onewayvc.com/portfolio/,"Immigrant Founders (Enterprise Software, Logistics, Supply Chain, Mobility, FinTech, AI, PropTech, Future of Work, Robotics, MarTech, EdTech, HealthTech, HRTech, JobTech, Marketplaces, E-commerce, Cyber Security, AgTech, New Materials, LegalTech, RetailTech, Wireless, Cloud Infrastructure, VR, SpaceTech, Sensors)",https://www.linkedin.com/company/one-way-ventures/,https://twitter.com/onewayvc,https://payhip.com/projectstartups
OSS Capital,https://oss.capital,San Francisco (United States),"Pre-Seed, Seed, Series A",https://oss.capital/portfolio,Commercial Open-Source Software (COSS),,,https://payhip.com/projectstartups
Overline VC,https://overline.vc,Atlanta (United State),"Pre-Seed, Seed, Series A",,"FinTech, Real Estate, PropTech, Enterprise Software, HealthTech, Dev Tools",https://www.linkedin.com/company/overlinevc/,https://twitter.com/OverlineVC,https://payhip.com/projectstartups
Palm Drive Capital,https://palmdrive.vc,New York (United States),"Pre-Seed, Seed, Series A",https://palmdrive.vc/portfolio/,"FinTech, Enterprise B2B Software/SaaS, E-commerce, Digital Health",https://www.linkedin.com/company/palm-drive-ventures/,https://twitter.com/PalmDriveVC,https://payhip.com/projectstartups
Panache Ventures,https://www.panache.vc,"Montreal (Canada), Calgary (Canada), Toronto (Canada), Vancouver (Canada)","Pre-Seed, Seed",https://www.panache.vc/portfolio,"FinTech, Digital Health, EdTech, Digital Media, TravelTech, Consumer Internet, E-commerce, Sports, Enterprise/B2B, Software/SaaS, MarTech, Real Estate/PropTech, Cyber Security, HRTech",https://www.linkedin.com/company/panache-ventures/,https://twitter.com/panachevc,https://payhip.com/projectstartups
Parade Ventures,https://www.parade.vc,San Francisco (United States),"Pre-Seed, Seed",https://www.parade.vc/portfolio.php,"Software/SaaS, B2B/Enterprise, Cyber Security, MarTech, HRTech, Dev Tools, HealthTech, PropTech, Logistics, FinTech/InsurTech, Consumer Internet & Mobile, E-commerce/Consumer Brands",https://www.linkedin.com/company/paradeventures/,https://twitter.com/paradevc,https://payhip.com/projectstartups
Pathbreaker Ventures,https://www.pathbreakervc.com,San Francisco (United States),"Pre-Seed, Seed",https://www.pathbreakervc.com/companies,"DeepTech (Hardware/Robotics, Software/SaaS, AI/ML, Deep Learning, Reinforcement Learning, Computer Vision, Natural Language Processing, Natural Language Understanding, Computational Biology, VR/AR)",https://www.linkedin.com/company/pathbreaker-ventures/,https://twitter.com/pathbreakervc,https://payhip.com/projectstartups
Peak Capital,https://peak.capital,Amsterdam (Netherlands),"Pre-Seed, Seed, Series A",https://peak.capital/founders/,"SaaS, Marketplace & Platform (B2B/Enterprise, Consumer, B2B Software)",https://www.linkedin.com/company/peak-capital,https://twitter.com/peakcapitalvc,https://payhip.com/projectstartups
Pear VC,https://pear.vc,San Francisco (United States),"Pre-Seed, Seed, Series A",https://pear.vc/companies/,"Consumer Tech/Consumer Internet, B2B/Enterprise, Health Care/Life Sciences/HealthTech, DeepTech, FinTech",https://www.linkedin.com/company/pear-vc/,https://twitter.com/pearvc,https://payhip.com/projectstartups
Peterson Ventures,https://www.petersonventures.com,Salt Lake City (United States),"Pre-Seed, Seed",https://www.petersonventures.com/portfolio/,"Digital Commerce, SaaS, Digital Health, FinTech",https://www.linkedin.com/company/peterson-ventures/,https://twitter.com/petersonventure,https://payhip.com/projectstartups
Phaze Ventures,https://www.phazeventures.com,Muscat (Oman),"Pre-Seed, Seed, Series A",https://www.phazeventures.com/portfolio,"Consumer Internet, E-commerce, Enterprise/B2B, Supply Chain, Energy",https://www.linkedin.com/company/phaze-ventures/,https://twitter.com/phazeventures,https://payhip.com/projectstartups
Pi Labs,https://pilabs.co.uk,London (United Kingdom),"Pre-Seed, Seed, Series A",https://pilabs.co.uk/portfolio,"Tech and Real Estate, Built World Tech, Real Estate Tech, PropTech (How We Build, How We Experience, How We Live, How We Move, How We Own, How We Work, Sustainability)",https://www.linkedin.com/company/pi-labs-ltd-/,https://twitter.com/pi_labs,https://payhip.com/projectstartups
Picus Capital,https://www.picuscap.com,"Munich (Germany), Berlin (Germany), London (United Kingdom), New York (United States), Beijing (China)","Pre-Seed, Seed, Series A",https://www.picuscap.com/portfolio/,"Consumer Internet, FinTech & InsurTech, E-commerce, Digital Health, Mobility, B2B/Enterprise, SaaS/Software, Real Estate/PropTech, HRTech, Renewable Energy",https://www.linkedin.com/company/picus-capital/,https://twitter.com/picuscap,https://payhip.com/projectstartups
PJC,https://www.pjc.vc,Boston (United States),"Pre-Seed, Seed, Series A",https://www.pjc.vc/portfolio,"Consumer Tech, IoT, FinTech/InsurTech, Consumer Internet, Digital Health/HealthTech, EnergyTech, Software/SaaS, B2B/Enterprise, MarTech, HRTech, PropTech",https://www.linkedin.com/company/pjcvc/,https://twitter.com/PJCventure,https://payhip.com/projectstartups
PLG Ventures,https://www.plgventures.com,Santa Monica (United States),"Pre-Seed, Seed",https://www.plgventures.com/#portfolio,"Technology-Enabled Startups, Consumer Internet, B2B SaaS, Enterprise Software, Marketplaces",https://www.linkedin.com/company/plg-ventures/,,https://payhip.com/projectstartups
Polychain Capital,https://polychain.capital,San Francisco (United States),"Pre-Seed, Seed, Series A",https://jobs.polychain.capital/companies,"Blockchain Assets, Crypto, Bitcoin",https://www.linkedin.com/company/polychain-capital/,https://twitter.com/polychain,https://payhip.com/projectstartups
Precursor Ventures,https://precursorvc.com,San Francisco (United States),"Pre-Seed, Seed",https://precursorvc.com/portfolio/,"Consumer, Digital Health, EdTech, Enterprise/B2B, FinTech, Hardware, Marketplaces, Media, SaaS/Software",https://www.linkedin.com/company/15231498,https://twitter.com/PrecursorVC,https://payhip.com/projectstartups
Primary Venture Partners,https://www.primary.vc,New York (United States),"Pre-Seed, Seed, Series A",https://www.primary.vc/portfolio,"Consumer Internet/Consumer Brands, FinTech, EdTech, Digital Health & Fitness, E-commerce, FoodTech, Media, Hospitality/TravelTech, Enterprise/B2B Software/SaaS, MarTech, Cyber Security, HRTech, PropTech, Logistics & Supply Chain",https://www.linkedin.com/company/primary-venture-partners/,https://twitter.com/PrimaryVC,https://payhip.com/projectstartups
Primo Ventures,https://www.primomigliosgr.it,Milan (Italy),"Pre-Seed, Seed, Series A",https://www.primomigliosgr.it/portfolio,"ICT, Enterprise Software, FinTech, MarTech, HealthTech, EventTech, Digital Media, Gaming, PropTech, Transportation, Travel, Cyber Security, E-commerce, Fashion, EdTech, Sports, Marketplaces",https://www.linkedin.com/company/primomiglio-sgr/,https://twitter.com/PrimoVc,https://payhip.com/projectstartups
PSL Ventures,https://www.psl.com/ventures,Seattle (United States),"Pre-Seed, Seed, Series A",https://www.psl.com/companies,"FinTech, SaaS, Enterprise Software, B2B Software, Digital Health, Consumer Internet, Virtual Reality, Gaming",https://www.linkedin.com/company/pioneer-square-labs/,https://twitter.com/psl,https://payhip.com/projectstartups
Radical Ventures,https://radical.vc,Toronto (Canada),"Pre-Seed, Seed, Series A",https://radical.vc/portfolio/,"Artificial Intelligence/AI, Machine Learning (Health Care/BioTech, Financial Services/FinTech, Infrastructure, Manufacturing, Construction, Transportation, Robotics)",https://www.linkedin.com/company/radicalventures/,https://twitter.com/radicalvcfund,https://payhip.com/projectstartups
Raed Ventures (CVC),https://raed.vc,"Dammam (Saudi Arabia), Dubai (United Arab Emirates)","Pre-Seed, Seed, Series A, Series B",https://raed.vc/portfolio/,"SaaS, PaaS, Sharing Economy, Marketplaces, Aggregation, Logistics, FinTech, EdTech, Digital Health, RetailTech, Entertainment, Industrial, Managerial Support",https://www.linkedin.com/company/raedvc/,https://twitter.com/raedvc,https://payhip.com/projectstartups
RallyCap Ventures,https://ralicap.com,San Francisco (United States),"Pre-Seed, Seed, Series A",,"Emerging Markets FinTech Infrastructure (FinTech APIs, Data, Payments, Communication)",https://www.linkedin.com/company/rallycapventures/,https://twitter.com/RallyCapGlobal,https://payhip.com/projectstartups
Remapped Ventures,https://www.remappedventures.com,Toronto (Canada),"Pre-Seed, Seed, Series A",https://www.remappedventures.com/portfolio/,"FinTech, EdTech, WorkTech, HousingTech, HealthTech, FoodTech, AI Tech",https://www.linkedin.com/company/remapped-ventures/,https://twitter.com/remappedrv,https://payhip.com/projectstartups
Remote First Capital,https://www.remotefirstcapital.com,San Francisco (United States),"Pre-Seed, Seed",,"Tools Improving & Leveraging Remote Work, Engineering & No-Code Tools",https://www.linkedin.com/company/remote-first-capital/,,https://payhip.com/projectstartups
Resolute Ventures,https://resolute.vc,"San Francisco (United States), Boston (United States)","Pre-Seed, Seed, Series A",https://resolute.vc/companies/,"Consumer, Data, DevTools, E-commerce, Enterprise, FinTech, Hardware, Marketplaces, SaaS",https://www.linkedin.com/company/resolute-ventures/,https://twitter.com/resolutevc,https://payhip.com/projectstartups
Rethink Education,https://rethink-capital.com/education/,"New York (United States), San Francisco (United States), Washington DC (United States)","Pre-Seed, Seed, Series A",,"EdTech/Education (Crucial Life Skills, Personalized Learning, Vocational Preparation, Workforce Learning Resources Curation, College Dropout Prevention)",https://www.linkedin.com/company/rethink-education-fund/,https://twitter.com/rethink_ed,https://payhip.com/projectstartups
Saison Capital (CVC),https://www.saisoncapital.com,Singapore,"Pre-Seed, Seed, Series A",https://www.saisoncapital.com/portfolio,"FinTech, Embedded Finance, SaaS/Software, Enterprise/B2B, E-commerce, Consumer Internet, Marketplaces",https://www.linkedin.com/company/saisoncapital/,,https://payhip.com/projectstartups
Samaipata Ventures,https://www.samaipata.vc,"Madrid (Spain), London (United Kingdom), Paris (France)","Pre-Seed, Seed, Series A",https://www.samaipata.vc/our-portfolio,"Digital Platforms, Marketplaces",https://www.linkedin.com/company/samaipata-ventures/,https://twitter.com/samaipatavc,https://payhip.com/projectstartups
Sandalphon Capital,http://sandalphoncapital.com,Chicago (United States),"Pre-Seed, Seed, Series A",http://sandalphoncapital.com/portfolio/,"B2B/Enterprise SaaS/Software, FinTech, InsurTech, RegTech, Real Estate Tech/PropTech, Tech-Enabled Health Care Services/Healthcare IT, Consumer Tech, CPG, FoodTech, EdTech, IoT/Hardware",https://www.linkedin.com/company/sandalphon-capital/,https://twitter.com/sandalphoncap,https://payhip.com/projectstartups
Savannah Fund,https://savannah.vc,"Nairobi (Kenya), Cape Town (South Africa), Lagos (Nigeria)","Pre-Seed, Seed, Series A",https://savannah.vc/startups/,"AgTech, ClimateTech, Content, E-commerce, EdTech, Enterprise SaaS, FinTech, Healthcare, Mobility & Logistics, Web3/Crypto, Blockchain",https://www.linkedin.com/company/savannah-fund/about/,https://twitter.com/savannahfund,https://payhip.com/projectstartups
Schematic Ventures,https://www.schematicventures.com,"San Francisco (United States), New York (United States)","Pre-Seed, Seed, Series A",https://www.schematicventures.com/#portfolio-section,"Digital Industrial Technology, Commerce Infrastructure, Supply Chain, Manufacturing, Industrial Automation",https://www.linkedin.com/company/schematicvc/,https://twitter.com/schematicvc,https://payhip.com/projectstartups
Scopus Ventures,https://scopusventures.com,Los Angeles (United States),"Pre-Seed, Seed, Post-Seed",,"Enterprise/B2B (Software/SaaS, Business Intelligence, Automation, Cyber Security, Digital Media, Health Care IT, FinTech)",https://www.linkedin.com/company/scopus-ventures/,https://twitter.com/scopusventures,https://payhip.com/projectstartups
Scribble Ventures,https://www.scribble.vc,"Portola Valley, CA (United States)","Pre-Seed, Seed, Series A",https://www.scribble.vc/portfolio,"Enterprise Software/B2B Software, Enterprise SaaS, FinTech, Consumer Internet, E-commerce, Social Networking, EdTech, Marketplace",https://www.linkedin.com/company/scribble-ventures/,https://twitter.com/scribblevc,https://payhip.com/projectstartups
Script Capital (122WEST Ventures),https://script.capital,San Francisco (United States),"Pre-Seed, Seed, Series A",https://script.capital/companies/,"SaaS/Software, Marketplaces, Mobility, Enterprise/B2B, Cyber Security, AR/VR, Crypto, Productivity, Deep Tech, Media, Developer Tools, E-commerce, HRTech, Mobile & Social, FinTech, EdTech, Digital Health, Wellness & Fitness, Logistics",,,https://payhip.com/projectstartups
Secocha Ventures,https://www.secocha.com,Miami (United States),"Pre-Seed, Seed, Series A",https://www.secocha.com/portfolio,"FinTech, HealthTech, Consumer Products, Consumer Services",https://www.linkedin.com/company/secocha-investments/,,https://payhip.com/projectstartups
Seedcamp,https://seedcamp.com,London (United Kingdom),"Pre-Seed, Seed",https://seedcamp.com/our-startups/,"3D Printing/Robotics, AI/Machine Learning, Blockchain, Bots/Messaging, Cloud/Infrastructure, Communications, Data/Analytics, Dev Tools, E-commerce, EdTech, FinTech, Future of Work & Productivity, Gaming, Health, Human Resources, IoT/Hardware, LegalTech, MarTech/AdTech, Marketplaces, Media/ Content, PropTech, Cyber Security, Social, Travel, Vertical SaaS, VR/AR",https://www.linkedin.com/company/seedcamp_2/,https://twitter.com/seedcamp,https://payhip.com/projectstartups
Selvedge Venture,https://www.selvedgeventure.com,London (United Kingdom),"Pre-Seed, Seed, Series A",https://www.selvedgeventure.com/index.php/portfolio/,"Age-Related Medical Conditions (Life Sciences, Health Care, BioTech, Metabolic Syndrome, Cancer, Neurodegenerative Diseases)",https://www.linkedin.com/company/selvedge-venture/,,https://payhip.com/projectstartups
SFC Capital,https://sfccapital.com,London (United Kingdom),"Pre-Seed, Seed",https://sfccapital.com/portfolio,"Mobile & Online Solutions, Sci & Tech Innovations, Life Sciences, Services & Manufacturing, Online Platforms & Marketplaces, Media & Entertainment, Consumer Products, CPG, Food & Drink",https://www.linkedin.com/company/sfccapital/,https://twitter.com/sfccapitaluk,https://payhip.com/projectstartups
Shorooq Partners,https://www.shorooq.com,"Abu Dhabi (United Arab Emirates), Riyadh (Saudi Arabia), Manama (Bahrain), Dubai (United Arab Emirates)","Pre-Seed, Seed, Series A",https://www.shorooq.com/portfolio,"FinTech, Marketplaces, Software, Tech-Enabled Enterprise Services, HealthTech, EdTech",https://www.linkedin.com/company/shorooqpartners/,https://twitter.com/shorooqpartners,https://payhip.com/projectstartups
Shrug Capital,https://shrug.vc,San Francisco (United States),"Pre-Seed, Seed, Series A",,"Consumer Tech/Consumer Internet (Crypto, SaaS, Content, Video, Digital Media, VR, AR, Social, GIFs, E-commerce)",https://www.linkedin.com/company/shrug-capital/,https://twitter.com/shrugcap,https://payhip.com/projectstartups
Side Door Ventures,https://sidedoorventures.co,San Francisco (United States),"Pre-Seed, Seed, Series A, Series B",https://sidedoorventures.co/portfolio/,"Software, Life Sciences, Space, DeepTech, Blockchain, Logistics, Gaming, Media, Cyber Security, FoodTech, Financial Services/FinTech",https://www.linkedin.com/company/side-door-ventures/,,https://payhip.com/projectstartups
Signals VC,https://signals.vc,Berlin (Germany),"Pre-Seed, Seed, Series A",https://signals.vc/portfolio,"B2B/Enterprise Software/SaaS (Automation, FinTech/InsurTech, MarTech, EdTech, Logistics)",https://www.linkedin.com/company/signals-vc/,https://twitter.com/signalsvc/,https://payhip.com/projectstartups
Slauson & Co,https://www.slauson.co,Los Angeles (United States),"Pre-Seed, Seed",,"Small Businesses Software, SMB SaaS, B2B, Consumer Tech",https://www.linkedin.com/company/slausonandco/,https://twitter.com/slausonandco,https://payhip.com/projectstartups
Slow Ventures,https://slow.co,"San Francisco (United States), Boston (United States)","Pre-Seed, Seed, Series A",,"Consumer Tech, Consumer Brands, Social Networking, Direct To Consumer, Enterprise Software/SaaS, Crypto, Real World",https://www.linkedin.com/company/slow-ventures/,https://twitter.com/slow,https://payhip.com/projectstartups
SoGal Ventures,https://www.sogalventures.com,New York (United States),"Pre-Seed, Seed, Series A",,"Women Entrepreneurs/Undervalued Entrepreneurs (Consumer Internet/Consumer Brands/E-commerce/Media, HealthTech/Digital Health/Health & Wellness, Enterprise/B2B, Software/SaaS)",https://www.linkedin.com/company/sogal-ventures/,https://twitter.com/sogalventures,https://payhip.com/projectstartups
Speciale Invest,https://www.specialeinvest.com,Chennai (India),"Pre-Seed, Seed, Series A",https://www.specialeinvest.com/portfolio,"DeepTech Enterprise Software & SaaS (AI/ML, No-Code Low Code, AR/VR, Cloud & Dev Infra, Future of Work), Frontier Tech (Climate Tech and Clean Energy, Electric & Autonomous Vehicles, Space Tech, Robotics, Quantum Computing, Synthetic Biology",https://www.linkedin.com/company/specialeinvest/,https://twitter.com/SpecialeInvest,https://payhip.com/projectstartups
Speedinvest,https://www.speedinvest.com,"Vienna (Austria), Berlin (Germany), London (United Kingdom), Munich (Germany), Paris (France)","Pre-Seed, Seed, Series A",https://www.speedinvest.com/portfolio,"Deep Tech, FinTech, Industrial Tech, Marketplaces & Consumer, Subscriptions & Digital Health, SaaS/Software",https://www.linkedin.com/company/speedinvest,https://twitter.com/speedinvest,https://payhip.com/projectstartups
SpringTime Ventures,https://springtimeventures.com,"Denver (United States), Boulder (United States), Austin (United States), Atlanta (United States)","Pre-Seed, Seed",https://springtimeventures.com/portfolio/,"B2B Software/SaaS, MarTech/AdTech, PropTech, FinTech, Digital Health, Consumer Internet, E-commerce",https://www.linkedin.com/company/springtime-ventures/,,https://payhip.com/projectstartups
Squadra Ventures,https://www.squadra.vc,Baltimore (United States),"Pre-Seed, Seed, Pre-Series A",,"Enterprise Software/B2B SaaS/Enterprise Tech (Cloud, AI, Data Analytics, Cyber Security, FinTech)",https://www.linkedin.com/company/squadra-ventures,https://twitter.com/squadra_vc,https://payhip.com/projectstartups
SRI Capital,http://sricapital.com,Philadelphia (United States),"Pre-Seed, Seed, Pre-Series A",,"Enterprise Software/B2B SaaS, DeepTech, MedTech/HealthTech/Digital Health/AI, Consumer Internet/FinTech",https://www.linkedin.com/company/sri-capital/,https://twitter.com/sri_capital,https://payhip.com/projectstartups
Stage Venture Partners,https://www.stagevp.com,Los Angeles (United States),"Pre-Seed, Seed",https://www.stagevp.com/portfolio,"Emerging Enterprise Software Technology (B2B, E-commerce, Sound/Audio Tech, HealthTech, GovTech, Aerospace, Vertical SaaS)",https://www.linkedin.com/company/stage-investment/,https://twitter.com/stagevp,https://payhip.com/projectstartups
Starting Line,https://www.startingline.vc,Chicago (United States),"Pre-Seed, Seed, Series A",https://www.startingline.vc/portfolio,"Consumer Brands, Consumer Products, Consumer Services, Consumer Internet, Consumer Tech",https://www.linkedin.com/company/starting-line-vc/,,https://payhip.com/projectstartups
Sterling Road,https://www.sterlingroad.com,San Francisco (United States),"Pre-Seed, Seed",https://www.sterlingroad.com/portfolio,"Enterprise/B2B (Software/SaaS, Data Analytics, Business Intelligence, FinTech, MarTech, HRTech, Cyber Security, LegalTech)",https://www.linkedin.com/company/sterlingroad/,https://twitter.com/sterlingroadvc,https://payhip.com/projectstartups
Stray Dog Capital,https://straydogcapital.com,"Leawood, KS (United States)","Pre-Seed, Seed, Series A",https://straydogcapital.com/our-portfolio/,"Plant-Based Food & Beverage, Cellular Agriculture/AgTech, FoodTech, New Frontiers",https://www.linkedin.com/company/stray-dog-capital/,https://twitter.com/StrayDogCapital,https://payhip.com/projectstartups
Studio VC,https://www.studio.vc,New York (United States),"Pre-Seed, Seed, Series A",https://www.studio.vc/portfolio,"Technology, Digital Media, Consumer, FinTech, SaaS, B2B, Enterprise, MarTech, Artificial Intelligence Real Estate, Autonomous Vehicles, Transportation",https://www.linkedin.com/company/studio-vc/,,https://payhip.com/projectstartups
Superlyst,https://superlyst.vc,Munich (Germany),"Pre-Seed, Seed",,"Technology, Consumer, Digital Health, E-commerce, Media, FoodTech, B2B, Software, Enterprise, Telecommunication, Travel",https://www.linkedin.com/company/superlyst/,,https://payhip.com/projectstartups
Supernode Ventures,https://supernode.vc,New York (United States),"Pre-Seed, Seed, Series A",https://supernode.vc/portfolio-info,"FinTech, B2B Software, Retail, Real Estate, Logistics, MarTech, Digital Media, Consumer Internet/Consumer Brands, E-commerce, Digital Health, BioTech",https://www.linkedin.com/company/supernode-ventures/,https://twitter.com/supernodevc,https://payhip.com/projectstartups
Sustainable Food Ventures,https://www.sustainablefoodventures.com,North Carolina (United States),"Pre-Seed, Seed, Series A",https://www.sustainablefoodventures.com/companies,"FoodTech (Cell-Based, Plant-Based, Recombinant)",https://www.linkedin.com/company/sustainable-food-ventures/,https://twitter.com/SFV_RollingFund,https://payhip.com/projectstartups
Sweet Capital,https://sweetcapital.com,"London (United Kingdom), Stockholm (Sweden), Santa Monica (United States)","Pre-Seed, Seed, Series A",https://sweetcapital.com/portfolio/,"Consumer Tech, Mobile, Gaming",https://www.linkedin.com/company/sweetcapital/,https://twitter.com/sweet_capital,https://payhip.com/projectstartups
System.One,http://www.systemone.vc,Berlin (Germany),"Pre-Seed, Seed",,"Enterprise Software, Cloud Infrastructure, AI, ML, Data Analytics, Blockchain, Cyber Security, Industry 4.0",https://www.linkedin.com/company/system-one-vc/,https://twitter.com/systemonevc,https://payhip.com/projectstartups
TAU Ventures,https://www.tauventures.co.il,Tel Aviv (Israel),"Pre-Seed, Seed",https://www.tauventures.co.il/portfolio/,"Enterprise Software, Cyber Security, IoT, Supply Chain, 3D printing, Digital Media, HealthTech, AgTech, FoodTech, Drones, AI, VR, Computer Vision",https://www.linkedin.com/company/tau-ventures/,,https://payhip.com/projectstartups
TechU,https://techuventures.com,New York (United States),"Pre-Seed, Seed, Pre-Series A",https://techuventures.com/portfolio,"DeepTech (FinTech, Genomics, BioTech, Life Sciences Tech, AgTech/FoodTech, Software/SaaS, Cyber Security, Robotics, Advanced Manufacturing, SpaceTech)",https://www.linkedin.com/company/techu-vc/,https://twitter.com/techuventures,https://payhip.com/projectstartups
Teja Ventures,https://www.tejaventures.com,"Singapore, Jakarta (Indonesia)","Pre-Seed, Seed, Pre-Series A",https://www.tejaventures.com/portfolio,"She Economy/Women Entrepreneurs/Women Consumers (Health & Wellness, Digital Distribution, Financial Inclusion, Future of Retail, The Content Economy, Social Networks)",https://www.linkedin.com/company/tejaventures/,,https://payhip.com/projectstartups
Tera Ventures,https://www.tera.vc,"Tallinn (Estonia), London (United Kingdom), Helsinki (Finland), Amsterdam (Netherlands)","Pre-Seed, Seed, Series A",https://www.tera.vc/#portfolio,"Global Estonian Digital Startups (FinTech, Automation, AI/ML, DeepTech, Software/SaaS, B2B/Enterprise)",https://www.linkedin.com/company/tera-ventures,https://twitter.com/teraventures,https://payhip.com/projectstartups
The Engine,https://engine.xyz,Cambridge - MA (United States),"Pre-Seed, Seed, Series A",https://engine.xyz/companies,"(CLIMATE CHANGE: New Materials & Processes, HUMAN HEALTH: Biotechnology, Biology, Materials, Engineering, AI, ADVANCED SYSTEMS & INFRASTRUCTURE: Advanced Computing, Mobility, And The Built Environment, Industrial Systems) Tough Tech, DeepTech, IoT, AI/ML",https://www.linkedin.com/company/theengine/,https://twitter.com/enginexyz,https://payhip.com/projectstartups
The Fund,https://www.thefund.vc,New York (United States),"Pre-Seed, Seed",https://www.thefund.vc/portfolio/,"FinTech, Consumer Tech, Consumer Goods, E-commerce, Beauty, Fitness, Marketplaces, EdTech, Digital Health, Software, PropTech, BioTech",https://www.linkedin.com/company/thefund/,,https://payhip.com/projectstartups
The House Fund,https://thehouse.fund,"Berkeley, CA (United States)","Pre-Seed, Seed, Series A",https://thehouse.fund/entrepreneurs/,"UC Berkeley Consumer/Enterprise/AI startups (Software/SaaS, Blockchain, FinTech, Gaming, eSports, Digital Health, MedTech, FoodTech, BioTech)",https://www.linkedin.com/company/the-house-fund/,https://twitter.com/thehousevc,https://payhip.com/projectstartups
The Untitled Ventures,https://www.theuntitled.vc,"London (United Kingdom), Luxembourg, Riga (Latvia)","Pre-Seed, Seed",https://www.theuntitled.vc/portfolio,"B2B Deep Tech (Artificial Intelligence/AI, Computer Vision, AgTech, MedTech, Robotics, Industrial, Data Management)",https://www.linkedin.com/company/the-untitled-ventures/,https://twitter.com/UntitledVC,https://payhip.com/projectstartups
Third Prime Capital,https://thirdprime.vc,"New York (United States), Nashville (United States)","Pre-Seed, Seed, Series A",https://thirdprime.vc/companies,"FinTech, Consumer Internet, Consumer Brands, Consumer Tech, Digital Health, Software/SaaS, Enterprise/B2B, MarTech, HRTech, EnergyTech, Real Estate Tech, Sustainability",https://www.linkedin.com/company/third-prime/,https://twitter.com/thirdprimevc,https://payhip.com/projectstartups
Tiny VC,https://www.tiny.vc,Berlin (Germany),"Pre-Seed, Seed",,"B2B Enterprise SaaS/Software, FinTech, Consumer Internet, Digital Health",,https://twitter.com/tiny_vc,https://payhip.com/projectstartups
TitleTown Tech,https://www.titletowntech.com,Green Bay - WI (United States),"Pre-Seed, Seed, Series A",https://www.titletowntech.com/portfolio,"Sports & Media & Entertainment, Digital Health, Agriculture & Water & Environment Manufacturing & Construction Tech, Supply Chain Technology, Cross Industry Technologies",https://www.linkedin.com/company/titletowntech/,https://twitter.com/TitletownTechGB,https://payhip.com/projectstartups
Token Bay Capital,https://tokenbaycapital.com,Hong Kong,"Pre-Seed, Seed, Series A",https://tokenbaycapital.com/portfolio/,"Digital Assets, Blockchain, New Token Economy, Crypto, DeFi, Web 3, NFTs, Blockchain Gaming",https://www.linkedin.com/company/tokenbaycapital/,https://twitter.com/tokenbaycapital,https://payhip.com/projectstartups
Tomahawk.VC,https://www.tomahawk.vc,Schwyz (Switzerland),"Pre-Seed, Seed, Series A",https://www.tomahawk.vc/#portfolio,"FinTech, InsurTech, Decentralized Finance, DeFi, Crypto, Enterprise Software, PropTech, HRTech",https://www.linkedin.com/company/tomahawk-vc,https://twitter.com/tomahawk_vc,https://payhip.com/projectstartups
Trilogy Equity Partners,https://trilogyequity.com,Bellevue (United States),"Pre-Seed, Seed, Series A",https://trilogyequity.com/portfolio/,"B2B Services, Enterprise Software/SaaS, Dev Tools, MarTech, Cyber Security, Consumer Internet, Consumer Products, FinTech, EdTech, E-commerce, VR Digital Media",https://www.linkedin.com/company/trilogy-equity-partners-llc/,https://twitter.com/TrilogyEquity,https://payhip.com/projectstartups
TRIVE Ventures,https://www.trive.vc,Singapore,"Pre-Seed, Seed, Series A",https://www.trive.vc/portfolio,"Sustainability (AI, Data Science, Impact Investments, DeepTech, Blockchain, B2B/Enterprise, SaaS/Software, MarTech)",https://www.linkedin.com/company/trivevc/,,https://payhip.com/projectstartups
Triventures,https://www.triventures.vc,"San Mateo (United States), Herzliya (Israel)","Pre-Seed, Seed, Series A, Series B",https://www.triventures.vc/portfolio/,"Data-Driven Health Care, Medical Devices, Digital Health, HealthTech",https://www.linkedin.com/company/triventures/,https://twitter.com/triventuresvc,https://payhip.com/projectstartups
Trucks Venture Capital,https://www.trucks.vc,San Francisco (United States),"Pre-Seed, Seed, Series A",https://www.trucks.vc/portfolio,"Future Of Transportation (Automated Vehicles, Driver Monitoring, Vehicle Maintenance, Batteries & Charging, Electric & Hydrogen Vehicle Platforms, Last-Mile Logistics, Micromobility & Mass Transit)",https://www.linkedin.com/company/trucks-vc/,https://twitter.com/trucksvc,https://payhip.com/projectstartups
